chapter,verse,scripture
1,1,"In the beginning, God created the heavens and the earth."
1,2,"The earth was without form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters."
1,3,"And God said, \"Let there be light,\" and there was light."
1,4,"And God saw that the light was good. And God separated the light from the darkness."
1,5,"God called the light Day, and the darkness he called Night. And there was evening and there was morning, the first day."
1,6,"And God said, \"Let there be an expanse in the midst of the waters, and let it separate the waters from the waters.\""
1,7,"And God made the expanse and separated the waters that were under the expanse from the waters that were above the expanse. And it was so."
1,8,"And God called the expanse Heaven. And there was evening and there was morning, the second day."
1,9,"And God said, \"Let the waters under the heavens be gathered together into one place, and let the dry land appear.\" And it was so."
1,10,"God called the dry land Earth, and the waters that were gathered together he called Seas. And God saw that it was good."
1,11,"And God said, \"Let the earth sprout vegetation, plants yielding seed, and fruit trees bearing fruit in which is their seed, each according to its kind, on the earth.\" And it was so."
1,12,"The earth brought forth vegetation, plants yielding seed according to their own kinds, and trees bearing fruit in which is their seed, each according to its kind. And God saw that it was good."
1,13,"And there was evening and there was morning, the third day."
1,14,"And God said, \"Let there be lights in the expanse of the heavens to separate the day from the night. And let them be for signs and for seasons, and for days and years,"
1,15,"and let them be lights in the expanse of the heavens to give light upon the earth.\" And it was so."
1,16,"And God made the two great lights--the greater light to rule the day and the lesser light to rule the night--and the stars."
1,17,"And God set them in the expanse of the heavens to give light on the earth,"
1,18,"to rule over the day and over the night, and to separate the light from the darkness. And God saw that it was good."
1,19,"And there was evening and there was morning, the fourth day."
1,20,"And God said, \"Let the waters swarm with swarms of living creatures, and let birds fly above the earth across the expanse of the heavens.\""
1,21,"So God created the great sea creatures and every living creature that moves, with which the waters swarm, according to their kinds, and every winged bird according to its kind. And God saw that it was good."
1,22,"And God blessed them, saying, \"Be fruitful and multiply and fill the waters in the seas, and let birds multiply on the earth.\""
1,23,"And there was evening and there was morning, the fifth day."
1,24,"And God said, \"Let the earth bring forth living creatures according to their kinds--livestock and creeping things and beasts of the earth according to their kinds.\" And it was so."
1,25,"And God made the beasts of the earth according to their kinds and the livestock according to their kinds, and everything that creeps on the ground according to its kind. And God saw that it was good."
